Location,Time,Race,Two or More Races,Family Income - Rate (Dollars per Capita),Family Income - Rate (Dollars per Capita) - Error,Family Income - Median (Dollars),Family Income - Median (Dollars) - Error,Total Population: by Race - Number (People),Total Population: by Race - Number (People) - Error
New York,2014,American Indian and Alaskan Native,All,,,,,81512,4031.248100188461
New York,2014,Asian,All,,,,,1613255,5120.676028937929
New York,2014,Black or African-American,All,,,,,3093476,10471.15326159645
New York,2014,Native Hawaiian and other Pacific Islander,All,,,,,4574,792.7533588668005
New York,2014,Other Race,All,,,,,1746680,20420.6942671287
New York,2014,Two or more races,All,,,,,572418,11678.521490668125
New York,2014,Two or more races,Two races excluding Some other race, and three or more races,,,,,435353,10355.64472004377
New York,2014,Two or more races,Two races including Some other race,,,,,137065,5351.6931120432855
New York,2014,White,All,,,,,12634312,18524.530366587634
New York,2014-2018,All,All,37470,97.27035078120251,80419,231.62502279773847,,
New York,2015,All,All,,,,,19795791,
New York,2015,American Indian and Alaskan Native,All,,,,,69933,3386.8320262629945
New York,2015,Asian,All,,,,,1672186,5816.76697671591
New York,2015,Black or African-American,All,,,,,3081333,10306.401604960787
New York,2015,Native Hawaiian and other Pacific Islander,All,,,,,6446,1147.182199525807
New York,2015,Other Race,All,,,,,1763351,19181.10523436075
New York,2015,Two or more races,All,,,,,581410,14217.885585749893
New York,2015,Two or more races,Two races excluding Some other race, and three or more races,,,,,438549,11237.157273998419
New York,2015,Two or more races,Two races including Some other race,,,,,142861,6552.3740044987535
New York,2015,White,All,,,,,12621132,18590.187853364947
New York,2016,All,All,,,,,19745289,
New York,2016,American Indian and Alaskan Native,All,,,,,73052,3771.657851541127
New York,2016,Asian,All,,,,,1668036,7161.529576266034
New York,2016,Black or African-American,All,,,,,3080534,11537.479482035382
New York,2016,Native Hawaiian and other Pacific Islander,All,,,,,9236,1347.1943583196546
New York,2016,Other Race,All,,,,,1767107,21202.504711532616
New York,2016,Two or more races,All,,,,,616861,13651.28579244939
New York,2016,Two or more races,Two races excluding Some other race, and three or more races,,,,,468780,11581.859079579306
New York,2016,Two or more races,Two races including Some other race,,,,,148081,7401.057815064745
New York,2016,White,All,,,,,12530463,18164.630068697184
New York,2017,All,All,,,,,19849399,
New York,2017,American Indian and Alaskan Native,All,,,,,76069,4042.1910146513464
New York,2017,Asian,All,,,,,1734663,6946.318925162624
New York,2017,Black or African-American,All,,,,,3136984,13125.417958538514
New York,2017,Native Hawaiian and other Pacific Islander,All,,,,,7397,1059.0309441303423
New York,2017,Other Race,All,,,,,1768858,22908.991428050336
New York,2017,Two or more races,All,,,,,602071,11158.125113988692
New York,2017,Two or more races,Two races excluding Some other race, and three or more races,,,,,449562,8906.924433096237
New York,2017,Two or more races,Two races including Some other race,,,,,152509,7214.420329503313
New York,2017,White,All,,,,,12523357,21789.166514681743
New York,2018,All,All,,,,,19542209,
New York,2018,American Indian and Alaskan Native,All,,,,,84312,3758.891118001094
New York,2018,Asian,All,,,,,1666113,7543.923642774636
New York,2018,Black or African-American,All,,,,,3069259,10373.882910815248
New York,2018,Native Hawaiian and other Pacific Islander,All,,,,,9424,1706.4867165177213
New York,2018,Other Race,All,,,,,1689845,24458.62970393337
New York,2018,Two or more races,All,,,,,647655,14896.954222141163
New York,2018,Two or more races,Two races excluding Some other race, and three or more races,,,,,495255,12687.701380023102
New York,2018,Two or more races,Two races including Some other race,,,,,152400,7749.407258799927
New York,2018,White,All,,,,,12375601,20720.40853547328
Texas,2006-2010,All,All,24870,49.851054775366286,58142,142.86582770989116,24311891,
Texas,2006-2010,American Indian and Alaskan Native,All,,,,,119680,1845.0969663809349
Texas,2006-2010,Asian,All,,,,,904831,1741.1392789835247
Texas,2006-2010,Black or African-American,All,,,,,2864666,2925.4057997446653
Texas,2006-2010,Native Hawaiian and other Pacific Islander,All,,,,,19005,492.4311508298377
Texas,2006-2010,Other Race,All,,,,,2411546,12784.971730804304
Texas,2006-2010,Two or more races,All,,,,,488717,5707.337832087057
Texas,2006-2010,Two or more races,Two races excluding Some other race, and three or more races,,,,,331447,3672.563681682777
Texas,2006-2010,Two or more races,Two races including Some other race,,,,,157270,3581.3727278253996
Texas,2006-2010,White,All,,,,,17503446,14618.517843029971
Texas,2007-2011,All,All,25548,50.458994467748795,60004,136.1784910936835,24774187,
Texas,2007-2011,American Indian and Alaskan Native,All,,,,,125101,2459.116055687276
Texas,2007-2011,Asian,All,,,,,939558,1753.9060125235576
Texas,2007-2011,Black or African-American,All,,,,,2917108,3149.127606541431
Texas,2007-2011,Native Hawaiian and other Pacific Islander,All,,,,,19966,628.6096419235212
Texas,2007-2011,Other Race,All,,,,,2155160,11654.811842665207
Texas,2007-2011,Two or more races,All,,,,,524082,6058.1190345917685
Texas,2007-2011,Two or more races,Two races excluding Some other race, and three or more races,,,,,365715,4379.597543923643
Texas,2007-2011,Two or more races,Two races including Some other race,,,,,158367,3409.325794881148
Texas,2007-2011,White,All,,,,,18093212,13766.794334002067
Texas,2008-2012,All,All,25809,52.28281354489634,60621,143.4737674022737,25208897,
Texas,2008-2012,American Indian and Alaskan Native,All,,,,,127794,2187.9749528846737
Texas,2008-2012,Asian,All,,,,,979385,2106.511034105417
Texas,2008-2012,Black or African-American,All,,,,,2972834,3556.4472004377167
Texas,2008-2012,Native Hawaiian and other Pacific Islander,All,,,,,20671,711.2894400875433
Texas,2008-2012,Other Race,All,,,,,1883103,10220.07416864247
Texas,2008-2012,Two or more races,All,,,,,554343,6124.992400753845
Texas,2008-2012,Two or more races,Two races excluding Some other race, and three or more races,,,,,399759,4252.538148215697
Texas,2008-2012,Two or more races,Two races including Some other race,,,,,154584,3644.598455833181
Texas,2008-2012,White,All,,,,,18670767,11691.288224208158
Texas,2009-2013,All,All,26019,51.06693416013131,61066,136.786430786066,25639373,
Texas,2009-2013,American Indian and Alaskan Native,All,,,,,129219,2285.2453036658762
Texas,2009-2013,Asian,All,,,,,1019260,1986.746914706061
Texas,2009-2013,Black or African-American,All,,,,,3030970,3634.2634810626787
Texas,2009-2013,Native Hawaiian and other Pacific Islander,All,,,,,20974,686.3639126998602
Texas,2009-2013,Other Race,All,,,,,1773524,10527.08371329564
Texas,2009-2013,Two or more races,All,,,,,590326,6938.415709161651
Texas,2009-2013,Two or more races,Two races excluding Some other race, and three or more races,,,,,435355,4706.061158733053
Texas,2009-2013,Two or more races,Two races including Some other race,,,,,154971,3614.809410906438
Texas,2009-2013,White,All,,,,,19075100,12611.708918475288
Texas,2010,All,All,,,,,25257114,
Texas,2010,American Indian and Alaskan Native,All,,,,,129162,5338.926378503253
Texas,2010,Asian,All,,,,,969500,4960.179950148945
Texas,2010,Black or African-American,All,,,,,2970243,8040.0024317587695
Texas,2010,Native Hawaiian and other Pacific Islander,All,,,,,18528,1820.7793786856344
Texas,2010,Other Race,All,,,,,1905113,23854.945589397532
Texas,2010,Two or more races,All,,,,,548048,12484.041583074959
Texas,2010,Two or more races,Two races excluding Some other race, and three or more races,,,,,392819,9058.301416499484
Texas,2010,Two or more races,Two races including Some other race,,,,,155229,7160.31369688127
Texas,2010,White,All,,,,,18716520,27078.849778102012
Texas,2010-2014,All,All,26513,46.20341662107119,61958,136.786430786066,26092033,
